cont,prot,medt,outt
0.0,0,1,0
1.0,1,0,0
1.0,0,1,1
1.0,0,1,1
0.0,0,1,0
1.0,0,1,0
1.0,0,0,0
1.0,0,1,1
1.0,1,1,1
1.0,1,0,1
1.0,0,1,1
1.0,0,1,1
1.0,1,1,0
1.0,1,1,0
0.0,1,1,0
1.0,1,1,1
1.0,0,1,1
1.0,0,1,1
0.0,1,1,0
0.0,0,1,1
0.0,0,1,0
1.0,0,1,0
0.0,0,1,0
1.0,0,1,0
1.0,0,1,1
1.0,1,1,1
0.0,1,0,1
0.0,0,1,1
1.0,0,1,0
0.0,0,1,0
0.0,0,1,1
1.0,1,1,0
0.0,1,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,1
1.0,1,1,1
0.0,1,0,0
1.0,0,1,1
0.0,1,0,1
1.0,1,0,0
0.0,0,0,1
1.0,0,1,1
1.0,0,0,1
1.0,1,1,1
1.0,1,0,1
0.0,1,0,0
1.0,0,1,1
0.0,0,0,0
0.0,1,1,1
1.0,0,0,1
0.0,0,1,0
1.0,0,1,1
0.0,1,1,0
0.0,0,0,0
0.0,0,1,1
1.0,1,0,0
0.0,1,1,1
0.0,1,1,0
1.0,0,1,1
1.0,0,1,1
1.0,1,1,0
1.0,0,1,0
1.0,1,1,1
1.0,1,0,1
0.0,0,1,1
1.0,1,1,1
0.0,0,1,1
1.0,0,1,0
1.0,1,1,1
0.0,0,0,0
0.0,1,0,0
0.0,0,0,1
0.0,0,1,0
1.0,0,1,0
0.0,1,0,1
0.0,0,1,0
1.0,0,1,1
1.0,0,1,1
1.0,0,1,0
0.0,0,1,1
0.0,0,0,0
1.0,1,0,0
0.0,0,0,0
1.0,0,1,1
0.0,0,1,0
1.0,1,1,1
1.0,1,0,0
0.0,1,1,1
0.0,0,1,1
1.0,0,0,0
1.0,0,1,1
1.0,0,1,1
1.0,1,1,0
1.0,1,1,0
1.0,0,1,1
1.0,0,0,0
1.0,1,0,0
1.0,0,0,0
1.0,1,1,1
1.0,1,1,1
0.0,1,1,1
1.0,1,1,0
0.0,0,0,0
1.0,1,0,1
1.0,1,1,1
0.0,0,1,0
0.0,1,1,0
1.0,0,0,0
1.0,1,1,1
0.0,0,1,0
0.0,0,1,1
1.0,0,1,1
0.0,1,1,1
1.0,1,1,0
0.0,0,1,1
1.0,1,0,0
0.0,0,1,1
1.0,0,1,0
1.0,0,1,1
1.0,1,1,1
1.0,0,0,0
1.0,1,1,1
0.0,0,0,1
1.0,1,0,0
0.0,1,1,0
1.0,1,1,1
0.0,1,0,1
1.0,0,0,1
0.0,0,0,1
0.0,1,1,1
1.0,0,1,0
1.0,1,0,0
1.0,1,1,0
0.0,1,1,0
0.0,1,1,1
0.0,0,1,1
1.0,1,0,1
0.0,0,1,1
1.0,0,0,0
0.0,0,0,1
1.0,1,0,1
1.0,0,1,0
1.0,1,1,0
1.0,1,1,0
1.0,1,1,1
0.0,1,1,1
1.0,0,0,1
1.0,1,1,0
0.0,1,1,1
0.0,0,1,0
0.0,1,1,1
0.0,0,1,1
1.0,0,0,1
1.0,1,1,1
0.0,0,1,0
1.0,0,1,1
1.0,0,0,1
1.0,1,1,0
1.0,0,1,1
0.0,0,0,0
1.0,0,1,1
1.0,1,1,1
1.0,1,1,1
0.0,1,1,0
1.0,0,0,0
1.0,0,0,0
0.0,0,0,0
0.0,0,1,1
1.0,1,1,1
0.0,1,0,0
1.0,1,0,1
0.0,1,1,0
1.0,1,0,1
1.0,0,0,0
0.0,1,1,1
1.0,0,0,1
1.0,0,1,1
1.0,1,0,1
1.0,1,1,1
0.0,0,1,1
0.0,1,0,0
1.0,1,1,0
1.0,1,0,1
1.0,0,1,1
1.0,0,1,1
1.0,0,0,1
1.0,1,1,0
0.0,0,1,0
1.0,0,0,0
1.0,0,1,0
1.0,0,0,0
0.0,0,1,0
1.0,0,0,1
0.0,0,0,1
1.0,0,1,1
0.0,1,1,1
0.0,1,1,1
1.0,1,0,1
1.0,0,1,0
1.0,0,1,1
1.0,1,1,0
0.0,0,0,1
0.0,1,1,0
1.0,1,1,1
0.0,0,1,0
0.0,1,1,1
1.0,0,1,1
1.0,1,1,0
1.0,0,1,1
1.0,0,0,0
0.0,1,1,1
1.0,1,0,0
0.0,0,0,1
1.0,1,1,1
1.0,1,0,1
0.0,1,0,0
0.0,1,0,0
1.0,1,1,1
1.0,1,1,0
0.0,1,1,1
1.0,0,1,0
1.0,0,1,1
1.0,1,1,0
1.0,1,0,1
1.0,0,1,1
1.0,1,1,0
1.0,0,1,0
1.0,0,1,0
1.0,1,1,0
1.0,1,0,1
1.0,0,0,0
1.0,0,0,0
1.0,1,1,1
1.0,0,1,1
0.0,1,1,0
1.0,1,1,1
1.0,0,0,0
0.0,0,0,0
1.0,1,0,1
1.0,1,0,1
0.0,1,0,1
1.0,0,1,1
1.0,0,1,1
1.0,0,1,1
1.0,0,0,0
1.0,1,1,1
1.0,1,1,0
0.0,1,1,1
0.0,0,1,1
0.0,0,1,1
1.0,0,1,1
0.0,0,0,1
1.0,1,1,1
1.0,0,1,0
0.0,0,0,1
1.0,1,1,1
1.0,0,1,1
1.0,1,0,1
1.0,0,1,0
1.0,1,0,1
0.0,0,1,1
1.0,0,1,1
1.0,0,1,1
1.0,1,0,1
0.0,1,1,1
1.0,1,1,1
1.0,1,0,0
1.0,0,1,0
0.0,0,1,1
1.0,1,1,0
0.0,1,1,0
0.0,0,1,1
0.0,1,1,0
0.0,1,1,0
1.0,0,1,0
0.0,1,1,1
1.0,0,1,1
0.0,0,0,0
0.0,0,0,0
1.0,0,1,1
1.0,1,1,0
1.0,0,1,0
0.0,1,1,1
0.0,1,0,1
1.0,1,0,1
0.0,1,1,1
1.0,0,1,0
1.0,0,0,1
0.0,1,1,0
0.0,0,1,0
0.0,1,1,1
1.0,1,1,1
1.0,1,1,1
1.0,1,0,1
0.0,1,1,1
1.0,0,0,1
1.0,0,1,0
0.0,0,1,1
0.0,0,1,0
1.0,0,1,1
0.0,0,0,0
0.0,0,0,0
1.0,0,1,1
0.0,0,0,1
1.0,1,0,0
1.0,0,0,0
1.0,0,1,0
0.0,1,1,1
0.0,0,1,0
1.0,1,0,1
1.0,0,0,1
0.0,0,1,1
0.0,1,1,1
1.0,1,0,1
1.0,0,1,1
1.0,1,1,1
0.0,1,1,0
1.0,0,1,1
1.0,0,0,1
0.0,1,0,1
1.0,0,0,0
1.0,0,0,0
1.0,0,1,1
1.0,0,0,1
1.0,1,1,1
1.0,0,0,0
1.0,1,1,1
1.0,0,0,1
0.0,0,1,1
0.0,0,1,1
1.0,1,1,1
1.0,1,0,1
1.0,0,1,1
1.0,0,1,1
1.0,1,1,0
0.0,0,1,1
1.0,0,0,1
0.0,1,1,1
0.0,1,0,1
1.0,1,0,1
0.0,1,1,0
0.0,1,1,0
0.0,0,1,0
0.0,0,1,1
0.0,1,1,0
0.0,0,1,1
0.0,0,1,0
1.0,1,1,0
1.0,0,1,1
0.0,1,1,1
1.0,1,0,0
0.0,1,0,1
1.0,1,1,1
0.0,0,1,0
0.0,1,1,0
0.0,0,0,0
0.0,0,0,1
1.0,1,1,1
1.0,0,0,1
0.0,0,1,0
0.0,0,1,1
1.0,1,1,1
1.0,0,1,0
1.0,1,1,1
0.0,1,0,1
1.0,0,1,1
0.0,1,0,0
1.0,0,1,1
1.0,1,0,0
1.0,0,1,0
1.0,1,0,0
1.0,0,0,1
0.0,1,0,1
1.0,0,0,0
1.0,0,1,1
1.0,0,0,1
1.0,0,1,1
1.0,1,1,0
0.0,0,1,1
0.0,0,1,1
1.0,0,1,1
0.0,1,1,1
1.0,0,1,0
1.0,0,1,0
1.0,0,0,1
0.0,0,1,1
1.0,1,1,0
1.0,1,0,1
0.0,1,1,1
1.0,0,1,1
0.0,0,0,1
0.0,0,0,1
0.0,0,0,1
0.0,0,1,1
1.0,1,0,0
0.0,0,1,1
1.0,0,1,1
0.0,1,0,1
0.0,0,1,1
1.0,0,1,0
0.0,1,1,1
0.0,1,1,1
1.0,0,0,1
1.0,1,1,0
0.0,1,1,1
0.0,1,0,0
0.0,0,1,1
1.0,0,1,0
1.0,1,0,0
0.0,0,1,1
0.0,1,1,0
1.0,1,0,1
0.0,1,0,0
1.0,1,1,1
0.0,0,0,0
1.0,0,1,1
0.0,1,0,1
1.0,1,1,0
1.0,1,0,0
1.0,0,1,0
1.0,1,0,0
0.0,1,1,1
1.0,0,1,0
0.0,1,0,1
1.0,0,0,0
1.0,1,1,0
1.0,0,1,0
1.0,1,0,0
1.0,1,1,0
1.0,0,1,1
1.0,0,1,1
1.0,0,1,1
1.0,1,1,1
1.0,0,0,1
1.0,1,1,1
1.0,0,1,1
1.0,0,1,0
1.0,0,1,1
1.0,1,1,1
1.0,0,1,0
1.0,0,1,1
1.0,1,0,1
1.0,1,1,0
1.0,0,1,0
0.0,0,0,0
1.0,0,1,1
1.0,0,0,1
1.0,0,1,1
0.0,1,1,1
0.0,0,1,0
1.0,1,1,1
0.0,0,1,0
0.0,0,1,1
1.0,0,0,1
0.0,0,0,1
0.0,1,0,0
1.0,1,0,1
0.0,1,0,1
0.0,1,1,1
0.0,0,0,1
0.0,1,1,0
0.0,0,1,0
0.0,0,1,0
0.0,0,1,1
1.0,0,0,1
1.0,0,1,0
1.0,1,1,1
1.0,1,1,1
1.0,0,0,0
1.0,0,0,0
0.0,1,0,0
1.0,0,1,1
0.0,1,0,1
0.0,0,1,0
0.0,1,1,1
1.0,1,0,1
1.0,0,1,0
0.0,0,0,1
1.0,0,0,1
1.0,0,0,1
0.0,0,1,1
0.0,0,1,0
1.0,1,1,1
0.0,0,1,0
1.0,1,1,0
1.0,0,1,0
0.0,0,1,1
1.0,0,1,0
1.0,0,1,1
1.0,0,1,0
0.0,1,1,0
0.0,1,1,0
1.0,1,0,1
1.0,0,0,1
1.0,0,1,1
0.0,0,1,1
1.0,0,1,0
0.0,1,1,1
1.0,0,1,1
1.0,0,0,1
1.0,1,1,0
1.0,0,0,1
0.0,1,1,1
1.0,1,1,1
1.0,1,0,1
1.0,1,0,1
0.0,0,1,1
1.0,0,1,1
1.0,1,1,1
1.0,1,1,1
0.0,1,1,1
1.0,0,0,0
1.0,1,0,0
0.0,0,0,1
1.0,0,1,1
1.0,0,0,1
0.0,1,1,1
1.0,0,1,1
1.0,1,0,1
0.0,1,1,0
0.0,1,1,1
1.0,0,1,1
0.0,0,1,0
1.0,0,1,0
0.0,0,1,0
0.0,1,1,0
1.0,0,0,0
1.0,1,1,1
0.0,0,1,1
0.0,0,1,0
1.0,1,1,1
1.0,0,0,0
0.0,1,1,1
1.0,1,1,0
1.0,0,0,1
0.0,0,0,0
1.0,1,1,1
0.0,0,0,0
1.0,1,0,0
1.0,1,0,1
0.0,0,0,1
1.0,0,0,1
1.0,0,1,0
0.0,0,1,1
0.0,1,1,0
1.0,0,1,0
0.0,1,1,1
1.0,0,0,1
1.0,0,1,1
0.0,1,0,1
0.0,0,1,1
1.0,0,1,1
1.0,0,1,1
1.0,1,1,1
0.0,1,0,1
1.0,1,1,0
0.0,0,1,0
1.0,1,1,1
1.0,1,1,1
0.0,0,1,0
1.0,0,1,1
1.0,0,0,1
1.0,0,0,1
1.0,1,1,0
1.0,1,1,0
1.0,1,0,1
1.0,0,0,0
1.0,1,0,1
1.0,1,1,1
1.0,1,0,1
0.0,0,1,1
0.0,0,0,1
1.0,0,1,1
0.0,0,0,1
1.0,0,0,1
0.0,1,0,1
0.0,1,1,1
1.0,1,1,0
1.0,1,1,1
1.0,0,1,1
1.0,0,1,1
1.0,0,0,1
0.0,0,1,1
1.0,0,1,1
0.0,0,1,0
1.0,1,0,1
1.0,0,0,0
0.0,0,0,1
0.0,0,0,1
1.0,1,1,1
1.0,1,1,1
1.0,0,1,1
0.0,0,0,0
1.0,0,1,1
1.0,0,0,0
0.0,0,0,1
1.0,0,0,1
1.0,0,1,0
0.0,0,0,0
1.0,1,1,0
1.0,1,1,1
1.0,1,0,0
0.0,1,1,1
1.0,1,1,1
1.0,1,0,1
1.0,1,0,1
1.0,0,1,1
0.0,0,0,0
0.0,0,1,1
0.0,1,1,1
1.0,0,1,1
1.0,0,1,1
1.0,0,1,1
1.0,1,1,1
1.0,0,0,1
0.0,0,1,1
0.0,1,0,1
0.0,0,1,1
1.0,0,1,0
1.0,1,1,0
1.0,0,1,1
1.0,0,0,1
0.0,0,1,1
1.0,1,1,1
0.0,0,1,0
0.0,1,1,1
1.0,1,1,1
0.0,1,1,1
1.0,0,1,1
1.0,0,1,1
0.0,0,1,0
1.0,0,1,1
1.0,0,1,1
1.0,0,1,0
0.0,1,0,1
1.0,1,1,1
1.0,0,0,1
1.0,1,0,1
1.0,1,1,1
1.0,1,1,1
1.0,1,1,1
0.0,0,0,1
0.0,1,0,0
0.0,0,0,1
0.0,0,0,1
0.0,1,1,1
1.0,1,0,0
0.0,0,1,1
1.0,1,1,1
1.0,0,0,1
1.0,1,1,1
1.0,0,1,1
0.0,0,1,0
0.0,0,1,0
1.0,0,1,1
0.0,0,1,1
0.0,0,0,1
0.0,1,1,0
1.0,1,1,1
0.0,0,1,0
1.0,0,1,1
1.0,1,1,1
1.0,1,1,0
1.0,1,1,0
1.0,0,0,1
0.0,1,0,1
1.0,0,1,1
1.0,0,1,1
0.0,0,0,1
0.0,0,1,1
0.0,1,1,0
1.0,0,1,1
1.0,1,1,1
1.0,0,1,0
0.0,1,0,1
1.0,1,1,1
0.0,1,1,1
0.0,0,1,1
1.0,1,1,1
1.0,1,1,0
0.0,0,0,0
1.0,1,1,0
1.0,1,1,1
1.0,1,0,1
1.0,0,1,1
1.0,1,0,1
1.0,1,1,1
0.0,1,1,1
1.0,1,1,1
0.0,0,1,1
1.0,1,1,1
1.0,1,1,1
1.0,1,1,1
0.0,1,1,1
1.0,1,1,1
0.0,1,1,1
0.0,0,0,0
1.0,0,1,1
1.0,0,1,1
1.0,0,1,1
1.0,0,0,1
0.0,1,1,1
1.0,0,0,1
0.0,1,0,1
0.0,0,1,1
1.0,1,1,1
0.0,0,0,1
0.0,0,1,1
0.0,0,1,0
0.0,0,0,1
0.0,0,1,1
1.0,1,1,1
1.0,0,0,1
1.0,1,0,1
1.0,0,1,1
0.0,0,1,0
1.0,1,1,0
1.0,1,1,0
1.0,0,1,1
1.0,0,0,0
1.0,1,0,0
0.0,0,1,0
1.0,0,1,1
1.0,0,0,0
1.0,0,1,0
0.0,0,1,1
1.0,0,0,1
0.0,1,1,1
0.0,0,1,1
0.0,0,1,1
0.0,0,0,1
0.0,1,0,1
1.0,0,1,1
1.0,0,0,1
1.0,1,1,1
0.0,1,1,1
1.0,1,0,1
0.0,0,1,1
0.0,1,1,1
0.0,0,1,1
1.0,0,1,1
1.0,0,1,1
0.0,1,1,1
1.0,0,1,1
1.0,0,1,1
1.0,0,1,1
1.0,1,0,1
1.0,0,1,1
1.0,1,1,1
1.0,1,1,1
1.0,1,1,1
1.0,1,1,0
0.0,0,0,1
1.0,0,0,1
0.0,1,1,1
1.0,1,1,1
0.0,0,1,0
1.0,1,1,1
0.0,0,0,1
0.0,0,1,0
0.0,0,0,1
0.0,0,1,1
1.0,0,0,1
1.0,0,0,1
0.0,1,1,0
1.0,0,1,1
0.0,0,0,1
0.0,0,0,1
0.0,1,0,0
1.0,1,1,1
0.0,1,1,1
1.0,1,1,1
0.0,0,0,1
0.0,1,0,1
1.0,0,0,1
1.0,0,1,1
0.0,1,1,0
0.0,0,1,1
1.0,0,1,0
1.0,0,0,1
0.0,1,1,1
0.0,1,1,1
1.0,0,0,1
0.0,1,1,1
0.0,0,0,1
1.0,1,0,1
0.0,0,1,1
1.0,0,1,1
1.0,0,0,1
0.0,0,1,1
0.0,1,1,1
1.0,1,0,1
0.0,1,1,1
1.0,0,0,1
1.0,0,1,1
0.0,0,1,1
0.0,0,0,1
1.0,0,1,1
1.0,0,1,1
0.0,0,1,1
0.0,0,0,1
1.0,1,1,1
1.0,1,1,1
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
8.19429254876e-312,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
